Time,Frame,New_detections,Current_detections,Total_detections,Density (people/m2)
31.840205669403076,1,8,8,8,1.3114754098360657
45.89834022521973,2,1,9,9,1.4754098360655739
58.86214542388916,3,2,11,11,1.8032786885245902
74.29892873764038,4,1,12,12,1.9672131147540985
88.38220763206482,5,0,12,12,1.9672131147540985
102.32302522659302,6,0,12,12,1.9672131147540985
118.02284026145935,7,0,12,12,1.9672131147540985
133.59599041938782,8,0,11,12,1.8032786885245902
147.87242937088013,9,0,11,12,1.8032786885245902
158.92213201522827,10,0,12,12,1.9672131147540985
170.02186703681946,11,0,12,12,1.9672131147540985
